Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
Portugal,PRT,1975,,,35.8132,,,,,,,,,,,,,,,,,,,,,,2.75,72.1,64.7,105.825,222.003,,,81.94055939,93.9666,100,18.40256,22.20464,49.76316833,,52.38808823,,7.624629974,9.984189987,53.16854,48.10032,55.59095001,40.81226,81.0676002,66.8610992,,
Portugal,PRT,1990,,,24.2974,,,,,,,,,,,,,,,,,,,,,,1.56,77.5,70.6,79.3,174.691,,,,,,11.98392,16.18839,60.00741959,,59.69979095,,,,49.81608,49.3419,,33.0904,87.1492212,73.8872406,,
Pacific island small states,PSS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,1979,93.31216,98.36329,76.5394,,737,183,,,,,,,,,,,,,,,,,,,5.94,73.876,71.413,99.855,113.019,91.7076416,86.96320343,59.79040146,99.25424,95.74022,11.98628,14.18511,69.90268707,,60.78063965,,,,48.13178,47.29301,48.5973587,24.8927,78.3339522,76.6733248,,
Saudi Arabia,SAU,2005,,,15.8942,96,,,,,,,,,,,,,,,,,,,,,3.417,74.881,71.883,90.469,112.826,,,52.20866013,,,5.20658,4.91054,84.75733185,,90.06932831,,35.55298996,23.94915962,49.31344,48.0026,52.62590027,9.36113,83.0886182,78.2055456,,
Senegal,SEN,2005,64.00654,65.44789,96.2328,51.9,322162,314986,,,,,,,,,,,,,,,,,,,5.149,62.094,59.081,209.91,265.637,53.14387131,53.80519867,25.14715958,61.65403,67.02198,11.80566,11.9022,19.14501953,17.09932,25.64145088,22.50532,,,42.48803,42.45662,14.13537979,39.86417,64.3152686,57.050471,41.67527008,47.04906845
South Sudan,SSD,1994,,,133.5602,,,,,,,,,,,,,,,,,,,,,,6.601,47.647,44.913,366.594,416.961,,,,,,,,,,,,,,,,,,41.4399016,36.2971952,,
Slovenia,SVN,1992,,,19.522,99.9,,,,,,,,,,,,,,,,,,,,,1.33,77.3,69.5,85.952,203.582,,,,,,,,,,,,27.71742058,24.43235016,,,,49.30992,86.131443,69.103243,,
Togo,TGO,1998,,,96.2936,50.5,,,,,,,,,,,,,,,,,,,,,5.515,54.488,52.93,312.416,345.969,,,12.12075043,,,,,,,,,1.10007,5.51913023,28.50598,,,,50.546184,46.3058184,,
Thailand,THA,1993,,,49.3276,,,,,,,,,,,,,,,,,,,,,,1.956,73.823,66.815,133.499,242.231,,,,,,,,37.10327911,,38.01015854,,20.45961952,17.97042084,49.50601,48.70455,,44.64605,78.7028784,65.6088252,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1995,,,86.66830334,,2660062,2095469,,,,,,,,,,,,,,,,,,,2.964668083,73.09021825,66.75832765,129.7887439,233.1919186,76.71783,71.75809,78.9649,89.56406,92.29007,11.6725,13.54554,81.8076,,76.55139,,19.45774078,18.42104912,50.85484,51.25128,62.37301,54.10231,77.99925592,65.95726934,,
Middle East & North Africa (IDA & IBRD countries),TMN,1991,,,66.92833905,,3633007,1717924,,,,,,,,,,,,,,,,,,,4.63663846,67.70920969,63.8816785,156.8557592,223.0972485,84.29052,87.00718,51.07478,85.56269,90.06432,7.68834,11.03188,48.2434,44.53185,63.86465,54.26771,9.525380135,14.79485035,42.26603,41.86395,38.92217,38.58868,72.01946835,64.06926136,,
Tonga,TON,1975,97.33629,97.24708,30.811,,216,240,,,,,,,,,,,,,,,,,,,5.426,66.133,65.153,202.296,235.619,,,53.48836899,,,,,79.7845993,,78.55709076,,,,48.93776,48.2953,,37.98799,67.3961588,62.2532616,,
Trinidad and Tobago,TTO,2018,,,29.3338,,,,,,,,,,,,,,,,,,,,,,1.725,76.092,70.751,108.616,186.336,,,,,,,,,,,,,,,,,,82.067952,71.4112882,,
Uganda,UGA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,1992,,,64.65248167,,63800000,41500000,,,,,,,,,,,,,,,,,,,3.071547907,68.12616717,63.59392311,153.8534314,224.4217483,75.19676,74.85917,56.84393,81.69642,83.64376,5.75608,6.87046,49.47493,,57.84781,,13.43235016,14.61483002,45.06914,44.94851,49.11281,44.04447,72.88316264,63.55635839,,
World,WLD,2001,,,54.77335887,,54600000,40500000,,,,,,,,,,,,,,,,,,,2.666348218,70.11112393,65.70396259,146.3863656,211.9445432,78.61979,76.71229,59.80332,88.62734,89.59834,4.7961,5.26644,57.83647,53.60913,62.73735,57.39193,20.11223984,20.15439034,46.88044,46.67399,51.94843,44.80934,75.2705051,66.74851912,,
Kosovo,XKX,2011,,,,,,,,,,,,,,,,,,,,,,,,,2.24,72.8,68.2,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,1992,,,146.24,15.9,,,,,,,,,,,,,,,,,,,,,8.272,59.553,56.441,241.478,293.723,,,,,,,,,,,,1.641549945,7.868259907,,,,,58.830057,52.026798,,
Zimbabwe,ZWE,2007,,,111.091,,,,,,,,,,,,,,,,,,,,,,3.873,46.603,43.276,613.239,661.877,,,,,,,,,,,,,,,,,,26.104229,18.53528,,
Afghanistan,AFG,1990,,,162.8354,,,,,,,,,,,,,,,,,,,,,,7.466,51.442,49.281,348.006,396.086,,,58.74486923,,,,,,,,,1.40605998,2.963059902,,,44.43991089,,45.8118288,40.3787462,,
Afghanistan,AFG,1994,,,164.4486,,,,,,,,,,,,,,,,,,,,,,7.572,54.012,51.746,320.987,368.125,,,37.68138123,,,,,9.169509888,,32.5815506,,,,20.34748,20.34748,34.4312706,,49.44363,43.8085018,,
Africa Western and Central,AFW,1969,,,172.0260848,,,,,,,,,,,,,,,,,,,,,,6.617137465,42.16254579,39.71295555,409.3790873,465.4921425,,,,,,,,,,,,,,,,,,34.71594311,29.56804182,,
Africa Western and Central,AFW,1989,,,156.2666166,,,,,,,,,,,,,,,,,,,,,,6.570139894,50.040823,47.43724966,327.1578042,379.9112642,,,,,,,,,,,,,,,,,,45.65011881,39.837653,,
Angola,AGO,1973,,,224.736,,,,,,,,,,,,,,,,,,,,,,7.498,43.449,40.716,440.734,503.498,,,,,,,,,,,,,,,,,,35.9742048,30.4439052,,
Antigua and Barbuda,ATG,1989,,,78.7012,,,,,,,,,,,,,,,,,,,,,,2.064,73.025,69.427,156.901,202.274,,,,,,,,,,,,,,,,,,80.6382194,69.8582658,,
Belgium,BEL,2008,98.06133,97.62989,9.2298,,4197,4406,,,,,,,75.14681244,81.73660278,78.32391357,29.03784943,29.76252937,29.38722992,27.07221985,27.76242065,27.40497971,57.63256073,63.42277908,60.42416,1.85,82.6,76.9,61.626,111.631,,,80.3046875,,,3.27374,3.50014,169.8158875,95.14791,148.1390533,94.14133,69.47411346,54.93643188,51.22441,52.33245,,53.04006,90.48243,83.359634,,
Belize,BLZ,2012,,,72.679,,,,,,,,,,,,,,,,,,,,,,2.588,75.683,70.637,136.27,226.67,91.36707306,90.4905777,72.12389374,95.30847,95.21656,6.23636,8.87425,79.4963913,68.82564,77.14298248,66.08784,30.29557037,18.32518959,50.9281,50.66825,61.39122009,45.5814,79.893484,69.677718,56.10707855,49.78355026
Bermuda,BMU,1978,77.90805,80.89888,,,716,629,,,,,,,,,,,,,,,,,,,,,,,,,,86.52037811,,,,,94.33113861,65.60664,86.45336914,60.14295,,,51.79351,51.79351,51.23762131,,,,,
Botswana,BWA,1972,51.34131,42.32077,156.218,,32214,38160,,,,,,,,,,,,,,,,,,,6.582,58.025,51.677,279.6,340.775,,,56.26266861,,,0.93843,0.8157,8.887829781,7.19377,10.66604042,8.08881,0.205689996,0.535440028,47.07045,46.44892,35.35565186,44.32863,55.020765,40.994434,,
Botswana,BWA,1999,87.06785,83.37816,62.8938,,18778,24475,,,,,,,,,,,,,,,,,,,3.371,53.972,48.657,491.194,605.413,85.5460434,78.64382935,81.23013306,96.06118,96.84041,2.73276,3.87975,80.67417145,60.63979,76.3544693,52.63121,6.099979877,6.977829933,52.46398,51.44356,45.32883072,35.70611,41.0874034,27.9720032,92.28392029,81.40882874
Channel Islands,CHI,1968,,,24.9498,,,,,,,,,,,,,,,,,,,,,,2.318,74.729,68.495,100.55,173.796,,,,,,,,,,,,,,,,,,82.781353,70.9615306,,
Cote d'Ivoire,CIV,1993,,,146.1112,,,,,,,,,,,,,,,,,,,,,,6.374,54.414,50.775,343.424,397.332,,,19.28556061,62.87894,69.02335,26.34491,26.85244,,,,,,,32.78883,,,,48.9756324,41.6697442,,
Curacao,CUW,1965,,,91.2948,,,,,,,,,,,,,,,,,,,,,,,,,170.219,232.195,,,,,,,,,,,,,,,,,,71.917715,64.5909014,,
Germany,DEU,1971,,,43.654,,,,,,,,,,,,,,,,,,,,,,1.92,73.856,67.778,,,,,,,,,,,,,,,,,,,,81.8495406,69.006724,,
Djibouti,DJI,1972,,,53.446,,,,,,,,,,,,,,,,,,,,,,6.83,51.928,48.975,314.483,368.952,,,35.9649086,52.53165,44.26667,10.45109,10.06555,,,,,,,37.39456,,49.28570938,,48.177299,42.320975,,
Denmark,DNK,2002,,,6.618,98.8,,,,,,,,,,,,,,,,,,,,,1.72,79.2,74.7,75.793,124.075,,,,,,0,0,129.352066,92.53573,123.3036804,89.63972,73.95755005,53.33802032,51.80385,50.04821,,45.32223,87.765109,81.149543,,
Algeria,DZA,2007,94.94972,96.79279,9.687,,92229,61099,,,,,,,,,,,,,,,,,,,2.649,75.215,72.702,97.069,122.997,94.69239044,91.34348297,52.96969986,95.98997,97.14276,8.23075,13.5684,73.11961365,,67.61721039,,27.56121063,19.7754097,52.45119,50.96425,,34.37899,82.84828,78.461919,98.16269684,99.64141846
Algeria,DZA,2010,,,10.8084,,,,,,,,,,,,,,,,,,,,,,2.86,76.152,73.766,91.882,116.385,95.1325531,94.01055145,52.53673172,97.06229,100,5.59483,9.15963,98.69296265,,95.24822998,,35.4210701,24.5324192,51.38993,49.92082,,33.95447,83.8119394,79.650786,,
East Asia & Pacific (excluding high income),EAP,1960,,,75.32816923,,,,,,,,,,,,,,,,,,,,,,5.826285046,47.40141937,44.0058798,369.566876,461.6909294,,,,,,,,,,,,,,,,,,39.8457371,30.26311555,,
Euro area,EMU,2019,,,6.339091851,,106727,134552,,,,,,,,,,,,,,,,,,,1.5068249,84.6122914,79.59504958,,,,,85.1812,,,,,108.3687,,108.8586,,81.55800629,69.10556793,,,63.4194,,93.05287035,86.69420549,,
Eritrea,ERI,1995,32.80085,35.84559,102.7148,20.6,118796,114719,,,,,,,,,,,,,,,,,,,5.965,54.135,50.568,346.885,396.338,79.29273987,78.02236938,35.35733032,93.60907,93.76537,21.30375,17.00363,19.26408005,16.21153,26.70396996,18.18823,0.470490009,3.027970076,42.26817,41.85065,11.60962009,17.81701,48.427634,42.271801,,
Eritrea,ERI,1982,,,116.446,,,,,,,,,,,,,,,,,,,,,,6.693,48.845,45.598,372,420,,,,,,,,,,,,,,,,,,42.093415,36.554999,,
European Union,EUU,1962,,,32.51757293,,,,,,,,,,,,,,,,,,,,,,2.555149641,72.1175384,66.65959379,112.6723774,195.9245301,,,,,,,,,,,,,,,,,,79.7814132,67.52103119,,
Faroe Islands,FRO,1994,,,,,,,,,,,,,,,,,,,,,,,,,2.4,80.6,73.8,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2017,,,96.227,,,,,,,,,,,,,,,,,,,,,,4.008,67.883,63.879,204.506,248.028,,,,,,,,,,,,,,,,,,71.235379,63.079658,,
"Gambia, The",GMB,1961,,,219.7918,,,,,,,,,,,,,,,,,,,,,,6.228,33.58,31.131,510.903,575.67,,,,,,,,,,,,,,,,,,23.046936,18.4938506,,
Grenada,GRD,1992,,,83.455,,,,,,,,,,,,,,,,,,,,,,3.551,72.693,67.739,144.723,241.534,,,69.46183014,,,,,116.5979614,,96.54141998,,,,54.30477,54.30477,,,77.43417,67.365823,,
Heavily indebted poor countries (HIPC),HPC,2018,78.30287,82.65285,99.91131876,64.40294626,11900000,9817893,,,,,,,,,,,,,,,,,,,4.698653193,64.88916616,61.37882081,216.3668336,271.4410749,56.1251,50.69747,42.21145,,,8.67686,9.20593,38.10805,30.48065,44.63159,35.18121,7.347420216,10.39490032,45.89096,45.57916,25.63689,42.39084,66.07684035,58.73614316,77.74423218,74.55410767
IDA blend,IDB,1967,,,137.2670853,,,,,,,,,,,,,,,,,,,,,,6.577635388,48.51523464,46.40815434,347.2383178,383.566635,,,,,,,,,,,,,,,,,,43.23729132,39.07844821,,
IDA only,IDX,1970,,,151.1789886,,18400000,13300000,,,,,,,,,,,,,,,,,,,6.798364227,46.02057741,43.97282203,357.2217053,400.8820446,,,26.57912,,,16.63165,16.18743,11.31705,,22.33489,,1.338870049,2.867660046,33.49172,33.38487,,31.22155,39.6232476,35.58365641,,
"Iran, Islamic Rep.",IRN,1996,,,49.5732,,,,,,,,,,,,,,,,,,,,,,2.696,69.219,68.338,148.074,188.707,,,54.25988007,,,,,,,,,12.98169041,21.25093079,,,,,74.299249,70.8743122,,
Jordan,JOR,1964,,,116.8166,,,,,,,,,,,,,,,,,,,,,,8.034,56.395,55.219,280.261,332.852,,,,,,,,,,,,,,,,,,53.8118056,48.742145,,
Kyrgyz Republic,KGZ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,1983,,,52.2688,,,,,,,,,,,,,,,,,,,,,,4.988,59.002,54.806,256.288,326.015,,,49.66886902,17.81857,17.81116,2.65315,2.75243,21.03960037,,21.63009071,,,,51.56556,49.18464,34.61537933,46.41638,57.4305372,48.4316896,,
Kiribati,KIR,2008,,,26.0172,65,,,,,,,,,,,,,,,,,,,,,3.872,68.838,61.613,170.215,249.584,,,81.55039215,,,,,91.4431076,,82.7162323,,,,51.20435,51.20435,47.74095917,,71.2665154,59.0446602,85.9315567,83.19328308
Lao PDR,LAO,1991,,,105.9486,,,,,,,,,,,,,,,,,,,,,,6.054,55.304,52.299,301.601,353.222,,,37.84400177,,,,,,,,,,,38.23439,,,,51.472145,44.5583062,,
Lebanon,LBN,1960,,,84.7684,,,,,,,,,,,,,,,,,,,,,,5.739,65.081,61.565,202.677,254.458,,,,,,,,,,,,,,,,,,66.5565434,59.0244272,,
Lebanon,LBN,1965,,,80.4998,,,,,,,,,,,,,,,,,,,,,,5.501,66.521,62.995,187.682,238.228,,,,,,,,,,,,,,,,,,68.9336428,61.3974556,,
Lebanon,LBN,2019,,,13.9476,,,,,,,,,,,,,,,,,,,,,,2.075,80.869,77.14,52.852,75.336,,,88.82511902,,,,,,,,,,,,,,,90.7277996,86.3900538,,
St. Lucia,LCA,2000,88.69969,92.642,60.667,100,1259,790,,,,,,,,,,,,,,,,,,,2.202,74.766,71.939,152.755,202.724,,,82.85975647,,,,,83.43415833,69.52071,64.26000977,54.84529,,,57.23863,57.23863,62.26950073,,81.5428602,71.5742834,,
St. Lucia,LCA,2002,,,54.575,98,,,,,,,,,,,,,,,,,,,,,1.933,75.153,72.201,147.293,197.015,,,82.85975647,77.70053,60.43285,1.96544,2.82508,82.68749237,67.64304,64.4888382,52.98472,,,56.93322,56.93322,63.94366074,,82.489047,72.210059,,
Liechtenstein,LIE,2013,,,,,,,,,,,,,,,,,,,,,,,,,1.45,83.9,80.7,,,,,78.16091919,,,,,,,,,,,,,54.31034088,,,,,
Low & middle income,LMY,2000,,,61.0760146,58.7615236,55700000,40600000,,,,,,,,,,,,,,,,,,,2.900618391,67.45609051,63.46327765,165.757624,232.5423802,74.88677,73.69956,54.36531,85.72109,87.00303,5.38178,6.01726,51.42292,48.30969,57.28732,53.43284,12.51842022,13.74182987,46.16556,46.04198,50.3696,44.74943,71.69588885,63.22640176,,
Morocco,MAR,1968,,,142.995,,,,,,,,,,,,,,,,,,,,,,6.821,52.774,50.824,274.768,327.417,,,,,,,,,,,,,,,,,,50.95734,45.4202394,,
Myanmar,MMR,2008,89.43049,90.24233,32.4684,,271761,252921,,,,,,,,,,,,,,,,,,,2.471,66.044,59.313,187.295,245.024,69.23204803,70.07125092,83.6368103,,,0.44458,0.44716,,,,,,,,,84.00385284,,68.1077554,53.6396712,98.84367371,99.79666901
Mozambique,MOZ,1985,48.04056,57.4248,176.665,,362163,295408,,,,,,,,,,,,,,,,,,,6.354,45.213,42.333,403.681,467.231,34.22383118,44.32606125,21.64053917,46.40146,44.66353,24.41819,22.87225,4.632820129,,10.21146965,,0.056869999,0.192660004,32.91083,31.20589,21.35239029,17.51486,40.3055668,34.2201576,,
Malawi,MWI,1972,,,197.259,,,,,,,,,,,,,,,,,,,,,,7.389,41.082,40.39,359.846,410.534,,,,,,,,7.116260052,,13.7101202,,,,33.33953,33.28153,,29.79516,36.043858,33.301329,,
Malaysia,MYS,1998,95.5427,96.01229,14.4122,96.2,65224,61421,,,,,,,,,,,,,,,,,,,3.036,74.378,70.326,104.23,175.391,,,62.92443085,98.05798,100,,,82.15981293,79.31866,75.23171997,73.19394,22.33877945,20.96068954,52.03154,51.22266,,33.13664,82.8163572,72.170668,,
Nepal,NPL,2011,,,78.6348,36,,,,,,2.236799955,7.50906992,4.621039867,17.23130989,38.69667816,26.93844986,5.343760014,14.44526958,9.459679604,2.236799955,7.50906992,4.621039867,10.21391964,24.76645088,16.79491043,2.444,69.44,66.698,151.983,192.829,,,42.24774933,,,11.82852,12.12171,60.12377167,,60.4025116,,11.61579037,17.4971199,49.64337,49.44984,20.65835953,,73.8953948,67.8287876,79.85137177,81.37017822
New Zealand,NZL,1985,,,32.2536,,,,,,,,,,,,,,,,,,,,,,1.93,76.8,71,97.378,158.999,,,,,,2.86335,3.396,84.59651947,83.00498,82.75369263,81.4349,30.15928078,34.25363922,49.57056,49.79411,,81.72218,84.360049,74.6963796,,
Other small states,OSS,1975,,,101.341959,,263385,264659,,,,,,,,,,,,,,,,,,,4.818124198,59.63489192,54.31651012,250.2193811,328.8702464,61.1551,55.21376,58.46402,,,12.0594,14.24766,36.8908,,40.6104,,4.982329845,5.579170227,48.77094,47.14757,54.05554,39.25628,60.44804425,49.32701521,,
Paraguay,PRY,1987,86.99188,87.86742,92.861,,37687,36554,,,,,,,,,,,,,,,,,,,4.818,69.998,66.062,150.067,202.881,56.4159317,55.31064987,,,,8.09637,10.49456,29.9845295,,30.22893906,,,,49.42831,48.82613,,40.3369,73.998429,66.420602,,
French Polynesia,PYF,1984,94.69187,94.49289,74.2416,,,,,,,,,,,,,,,,,,,,,,3.774,69.72,64.516,181.951,272.817,,,,,,,,,,,,,,57.10586,54.38496,,44.47066,71.2965328,60.3769264,,
Romania,ROU,1974,,,67.7348,,,,,,,,,,,,,,,,,,,,,,2.71,71.82,67.29,116.149,191.486,,,,,,,,72.09806061,,76.26683044,,7.0071702,8.488389969,52.00827,47.55519,,33.61426,78.9117474,68.2984942,,
Rwanda,RWA,1968,,,74.4442,,,,,,,,,,,,,,,,,,,,,,8.207,46.012,42.978,377.785,437.968,,,,,,,,,,,,,,,,,,39.4090346,33.767225,,
Senegal,SEN,1990,38.32991,51.35767,131.0482,,382201,306381,,,,,,,,,,,,,,,,,,,6.448,58.817,55.627,221.648,282.435,,,26.44404984,,,16.11832,16.22116,10.31033993,,20.23665047,,,,33.69794,33.50593,,28.49083,59.4754178,52.0507628,,
Singapore,SGP,1987,,,7.951,,,,,,,,,,,,,,,,,,,,,,1.62,76.7,72.5,92.526,149.381,,,70.50691223,,,,,,,,,,,50.09736,47.21032,,25.79619,84.642627,76.196995,,
Singapore,SGP,1993,,,7.7994,,,,,,,,,,,,,,,,,,,,,,1.74,78.3,73.9,75.156,123.544,,,,,,,,,,,,,,49.8376,46.77149,,24.5652,87.175974,78.9867754,,
Sao Tome and Principe,STP,1968,,,134.8852,,,,,,,,,,,,,,,,,,,,,,6.419,55.984,52.813,276.749,327.221,,,,,,,,,,,,,,,,,,53.0473232,45.7544966,,
Sweden,SWE,1969,,,38.8786,,,,,,,,,,,,,,,,,,,,,,1.93,76.61,71.68,86.466,142.949,,,,,,,,,,,,,,,,,,86.0385844,76.8052148,,
Eswatini,SWZ,1996,79.92177,77.24444,116.3942,,19710,22632,,,,,,,,,,,,,,,,,,,4.311,58.85,52.401,375.465,478.542,67.98709106,62.1216011,77.94142151,,,13.29987,17.5957,,,,,5.892769814,6.310219765,50.3977,,43.24586868,,51.274832,35.5969654,,
Turks and Caicos Islands,TCA,2003,,,,,403,451,,,,,,,,,,,,,,,,,,,,,,,,,,87.3949585,100,88.70715,,,71.26567841,,71.98661041,,,,49.2126,49.2126,60.95890045,,,,82.69230652,93.33332825
Latin America & the Caribbean (IDA & IBRD countries),TLA,2007,95.53679,94.72087,74.24029502,,563748,735652,,,,,,,,,,,,,,,,,,,2.295444343,76.64448969,70.15472078,104.1014051,195.0428871,83.79503,79.75437,77.86157,93.68892,95.19739,7.15415,8.55081,89.7418,71.58807,82.24647,65.81279,38.15496826,31.02429008,51.09675,51.31531,58.82032,53.51945,82.56056138,71.08586798,,
Middle East & North Africa (IDA & IBRD countries),TMN,2018,,,43.4951516,94.04661046,1431529,944381,,,,,,,,,,,,,,,,,,,2.878414147,75.5151714,71.75542812,88.00874128,139.0820298,83.80855,84.66132,64.14181,,,4.31173,7.52381,75.39607,67.83314,79.32563,72.57012,38.70439911,37.53842163,48.87337,47.52165,47.12808,38.17625,84.46012958,77.32061387,84.9569397,87.48589325
Trinidad and Tobago,TTO,1982,93.03454,92.14739,85.214,,5769,6662,,,,,,,,,,,,,,,,,,,3.261,68.991,64.797,169.376,253.581,,,67.82679749,,,3.86021,3.88472,77.30004883,,75.71694946,,3.42670989,5.192409992,50.44531,50.34498,,37.8933,72.229274,61.783273,,
Turkey,TUR,1987,,,71.873,,,,,,,,,,,,,,,,,,,,,,3.461,66.441,59.308,139.483,238.093,96.51576233,97.55731201,41.76538849,38.85591,58.45018,7.99532,8.08291,32.69094086,,59.32054138,,6.931129932,13.85278988,37.28958,35.54596,36.97505188,29.32502,71.614844,58.84461,,
Vanuatu,VUT,1978,,,88.32,,,,,,,,,,,,,,,,,,,,,,5.716,60.251,57.783,263.391,320.53,,,,,,,,11.02700996,,13.92418003,,,,43.25872,41.46235,,31.95592,58.4827752,50.8338242,,
Vanuatu,VUT,1983,,,82.4324,,,,,,,,,,,,,,,,,,,,,,5.356,63.039,60.577,233.796,288.515,,,,,,,,11.63632011,,17.45038033,,,,42.086,37.63774,,24.09471,62.9888742,55.2679624,,
Vanuatu,VUT,1991,,,71.3908,,,,,,,,,,,,,,,,,,,,,,4.883,66.187,64.144,200.58,245.872,,,40.27618027,,,,,15.83539009,15.15686,19.50004005,18.15211,,,43.2219,42.94933,,40.25974,68.3773398,61.599412,,
Kosovo,XKX,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,1994,71.50885,74.08579,158.585,,248342,228404,,,,,,,,,,,,,,,,,,,6.231,46.808,43.264,539.24,642.284,,,44.23794937,,,2.23698,2.5581,,,,,,,38.36077,,,,34.9427664,27.617772,,
Aruba,ABW,1976,,,56.2786,,,,,,,,,,,,,,,,,,,,,,2.472,73.902,68.394,109.048,174.163,,,,,,,,,,,,,,,,,,81.4072642,70.9085336,,
Andorra,AND,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56204224,,,,,,,,,,,,,67.49117279,,,,100,100
Argentina,ARG,1988,,,73.431,,,,,,,,,,,,,,,,,,,,,,3.042,74.745,67.726,109.675,209.899,,,91.46040344,,,,,72.50762177,,68.11914825,,,,63.80304,51.78421,66.89563751,43.39944,81.6295872,67.1838464,,
Argentina,ARG,1991,96.00714,96.34115,73.524,,91413,85545,,,,,,,36.26940918,38.54838181,37.35631943,11.76037979,12.28359032,12.00990963,,,,,,,2.965,75.316,68.361,107.306,201.917,,,,,,,,,,,,,,,,,,82.1090268,68.3948546,,
Austria,AUT,1984,,,26.6298,,,,,,,,,,,,,,,,,,,,,,1.52,77.3,70.1,83.994,190.093,,,77.26361847,,,,,87.32444,,96.43401337,,21.55706024,26.24600029,48.66534,46.4595,51.29896164,43.06389,86.157549,72.2933656,,
Bosnia and Herzegovina,BIH,2016,,,10.125,99.9,,,0.138040006,0.196229994,0.165810004,8.072649956,8.710860252,8.377280235,73.05789948,90.04383087,81.16555786,10.46644974,13.42049026,11.87646008,10.23624039,12.01622963,11.08586025,50.92340088,74.91976166,62.3772583,1.286,79.439,74.499,63.799,125.478,98.08386993,98.61416626,86.05821228,99.00013,98.30714,0.13911,0.16946,,,,,,,51.49875,49.28292,60.79251099,45.66547,89.426154,80.3724952,,
Belarus,BLR,2007,,,22.315,99.9,,,,,,,,,,,,,,,,,,,,,1.429,76.2,64.5,115.608,332.936,100,96.18067932,99.28887177,100,97.49492,0.05046,0.05024,,,,,84.45459747,59.49570847,49.28358,,,,81.61531,53.142332,99.80870819,100
Bermuda,BMU,1965,,,,,,,,,,,,,,,,,,,,,,,,,,72.35,65.61,,,,,,,,,,,,,,,,,,,,,,,
